Refuse Rounds Road & Day of Collection,,,,
,,,,
Monday,Tuesday,Wednesday,Thursday,Friday
Grange Close,Brockley Hill,"Harold Court, Knightswood Close",Gloucester Road,Station Approach
Orchard Crescent,Brockley Avenue,Springwood Crescent,Hillside,Abbotts Road
Stanway Gardens,Willow Court,Kenilworth Road,Denewood,"Brookhill Court, Cat Hill"
Penniwell Close,Stonegrove,Morley Crescent,Richmond Road,Carnarvon Road
Ash Close,Mill Ridge,Maytree Close,Eversleigh Road,Hammond Close
Stoneyfields Lane,"Mayfair Court, Stonegrove",Parnell Close,Leicester Road,Underhill
Magnolia Gardens,Earlsbury Gardens,Fairmead Crescent,Greenhill Park,Longmore Avenue
Ridgemont Gardens,Amias Drive,Harcourt Avenue,Church Hill Road,Cat Hill
Oakmead Gardens,Nutt Grove,Luther Close,Church Hill Road (Access Road),Alice Close
Campion Way,Campbell Croft,Mount Grove,St Marys Road,Artesian Grove
Larkspur Grove,Shelley Close,Langley Crescent,Stuart Road,Lee Close
Berberry Close,Baron Close,Riverdene,Capel Road,Bedford Avenue
Hibiscus Close,Denham Road,Fulbeck Walk,Shurland Avenue,Mays Lane
Sycamore Close,Duchess Close,Burrell Close,Lovelace Road,Pinecroft Crescent
Iris Walk,Parkwood,Warrens Shawe Lane,Alverstone Avenue,Hillside Gardens
Firethorn Close,Queens Parade Close,Attfield Close,"The Ridings, Alverstone Avenue",Kenerne Drive
Stoneyfields Gardens,Regal Drive,Britannia Road,Haslemere Avenue,Hasluck Gardens
Gibbs Green,St Pauls Road,Cameron Close,Hereford Avenue,The Fairway
Elmgate Gardens,Oakleigh Road North,Coniston Close,Gallants Farm Road,Dinsdale Gardens
Northolm,Oakleigh Road South,Darcy Close,Albemarle Road,Freston Gardens
Lovatt Close,Coppies Grove,Domville Close,Cedar Avenue,Sycamore Close
Rose Way,Stewards Holte Walk (1St Section),Golfside Close,Avondale Avenue,Trevor Close
Brook Court,Friern Barnet Road,"Holly Terrace, Sweets Way",Derwent Avenue,Osidge Lane  (Access Road)
Victoria Court,Friern Barnet Road (Service Road),Lawrence Campe Close,Connaught Avenue,Osidge Lane
Ash Close Flats,Balmoral Avenue,Millson Close,Myrtle Close,Brookside South
Ambelside Ct & Kendal Hse Gibbs Green,Hampton Close,Orchard Avenue,Gillum Close,Parkside Gardens
Crescent Road,Earl Close,Sweets Way,Chetwynd Avenue,Lancelot Gardens
Queenswell Avenue,Viscount Close,Theobalds Avenue,Grange Avenue,Mallory Gardens
Raleigh Drive,Highgrove Close,Derwent Crescent,Burlington Rise,Ferney Road
Manor Drive,Kensington Close,Swan Lane,Rushdene Avenue,Uplands Road
St James Close,St Johns Avenue,Friern Barnet Lane,Rosslyn Avenue,Woodfield Drive
Church Crescent,Hollyfield Avenue,The Chambers Friern Barnet La. Code 1582,Oakhurst Avenue,East Walk
St James Avenue,Hillside Avenue,The Ridgeway,Brunswick Park Road,East Road
Church Close,Beaconsfield Road,Myddelton Park,Park Road,Exeter Road
Church Way,Fernwood Crescent,Pollard Road,Bells Hill,Bishop Road
Friars Avenue,Beaconsfield Close,Loring Road,Dunster Close,West Walk
Gresham Avenue,Link Road,Greenside Close,Lingholm Way,Knoll Drive
Park Way,East Crescent,Queens Avenue,Sutton Crescent,Friars Walk
Bethune Avenue,Oakleigh Crescent N20,Avenue Road,Lexington Way,Cedar Rise
Beaconsfield Road,Irvine Close,Fredericks Place,Newlands Place,Monkfrith Way
Bellevue Road,"Oakleigh Green, Denham Road",893-895 High Road N12,Spring Close,Monkfrith Close
Carlton Road,Martock Gardens,Applewood Close,Redwood Way,Oak Way
Glenthorne Road,Sparkford Gardens,Franklin Close,West End Lane,Oak Close
Holly Park Road,Cheddar Close,Grange View Road,Gladstone Place,Grimsdyke Crescent
Parkhurst Road,Radstock Close,Harrison Close,The Croft,Jennings Way
The Crescent,Shapwick Close,Hobart Close,Leecroft Road,Cavendish Road
Broadway Mews,York Way,Holland Close,Manor Road,Old Fold View
Leadbeaters Close,Oakleigh Close,Maryrose Way,Sutherland Close,Wood Street
Stanford Road,Bawtry Road,Maxfield Close,Manorside,Manor Close
Ramsden Road,Balfour Grove,Oakleigh Park South,Willow Drive,Elm Passage
Goldsmith Road,Bruce Gardens,Russell Gardens,Cedar Lawn Avenue,Queens Road
Macdonald Road,Allum Way,Russell Road,Fitzjohn Avenue,Regina Close
Hartland Road,Farnham Close,Shrubland Close,Elm Road,Elizabeth Close
Kennard Road,Kingswood Close,Stevenson Close,Orchard Road,Granville Road
Bensley Close,Macaret Close,Tudor Grove,Newlyn Road,Argyle Road
Brook Place,Pine Grove,Well Grove,Hardy Close,Kings Road
Carpenters Close,The Firs,Whetstone Close,Eastham Close,Blenheim Road
County Gate,St Margarets Avenue,Oakleigh Road North,Normandy Avenue,Ravenscroft Park
Finch Close,Birley Road,Russell Lane,Ellesmere Grove,Marriott Road
Ivere Drive,Hayward Road,Simmons Way,Bourn Avenue,The Avenue
Pricklers Hill,Totteridge Lane,Simmons Close,Henry Road,Stapylton Road
"Ravenscroft Cottages, Grasvenor Avenue",Totteridge Village,Oakleigh Avenue,Lancaster Road,Salisbury Road
The Potteries: Mays Lane j/w Barnet Lane,Athenaeum Road,Chandos Avenue,East Barnet Road,The Drive
Vale Drive,Oakleigh Gardens N20,Temple Avenue,Warwick Close,Thornton Road
Western Parade (Service Road),Oxford Gardens,Langton Avenue,Margaret Road,Wentworth Road
"Willenhall Court, Great North Road",Barfield Avenue,Friern Mount Drive,Victoria Road,Cecil Court
Woodfall Avenue,Miles Way,Buckingham Avenue,"Albert Road, New Barnet",Byng Road
High Road N20,Whitehouse Way,Netherlands Road (83 onwards),Alexander Close,Darlands Drive
Great North Road,Walfield Avenue,Oakleigh Park North,Victoria Close,Cattley Close
Cherry Hill,Northcliffe Drive,Beech Avenue,Victoria Avenue,Carnarvon Road
Raydean Road,Harmsworth Way,Fitzwilliam Close,St Wilfrids Road,Strafford Road
Wycherley Crescent,Links Drive,Magdalene Gardens,St Wilfrids Close,Union Street
Fairfield Way,Belmont Close,Cambridge Close,Brookhill Road,Margaret Road
Sherrards Way,West Hill Way,Thatcham Gardens,Brookhill Close,Baring Road
The Linkway,Rowben Close,Thatcham Gardens (Access Road),Doggetts Close (was Doggets Court),Lawton Road
Western Way,Kendal Close (Private),Waterfall Road (1 to 131),Kingston Road,St James Close
Barnet Lane EN5,Mount Pleasant,Brunswick Park Road,Berkeley Crescent,Westbrook Square
Brent Place,Langford Road,Falkland Avenue,Beeston Road,Westbrook Crescent
Westcombe Drive,Wilton Road,Marne Avenue,Pym Close,Armstrong Crescent
Grasvenor Avenue,Langford Crescent,Spencer Road,Somaford Grove,Hertford Road
Elton Avenue,Bevan Road,Brunswick Avenue,Cranbrook Road,Hertford Close
Milton Avenue,Ashurst Road,Weirdale Avenue,Welbeck Road,Westbrook Close
Amber Close,Heddon Road,Ashbourne Avenue,Jackson Road,Castlewood Road
Totteridge Village (1 to 50),Evelyn Road,Beresford Avenue,Pymmes Brook Drive,Arundel Road
The Close,Norrys Road,Dene Road,Brownlow Close,Northfield Road
Totteridge Green,Norrys Close,Thorndene Avenue,Barons Gate,Linthorpe Road
"Grace Court, Totteridge Green",Hamilton Road,Pine Road,Middle Road,Grove Road
Beatrice Court,Hamilton Close,Linden Road,238-248 East Barnet Road,Fordham Close
Emily House,Carson Road,Prevost Road,Tewkesbury Close,Crescent Road
Hampden Way,Eccleston Close,Ryhope Road,"Newbury House  (15 Flats), The Approach",Caddington Close
Waterfall Road (133 to 149),Ibsley Way,Pymmes Green Road,Clarence Close,Keely Close
Crown Lane,Belmont Avenue,Bridge Way,,Crescent Rise
Burleigh Gardens,Netherlands Road (1-82),Dale Green Road,,Fordham Road
Chase Way,Calton Road,Brunswick Crescent,,Pilgrims Rise
Summit Way,Holyrood Road,Haynes Close,,Dianne Way
Summit Close,Lyonsdown Avenue,Brunswick Grove,,High Trees
Underne Avenue,The Drive,Park View Crescent,,Herons Rise
Mandeville Road,Willenhall Avenue,Darwin Close,,Somercoates Close
Cowper Road,Northumberland Road,Marshalls Close,,Kenley Close
Chase Side,Lockswood Close,Howard Close,,Mount Road
Farm Close N14,Mallard Close,Brunswick Park Gardens,,Park Road
Farm Lane,The Hook,Bryant Close,,Pendall Close
Canon Mohan Close,Dalmeny Road,Crocus Field,,Pensilver Close
Ruston Gardens,Monks Avenue,Dollis Valley Drive,,Rolfe Close
Byre Road,Benfleet Way,Dollis Valley Way,,Silvercliffe Gardens
Oakdale,Exchange Close,Meadow Close,,Appletree Gardens
Shamrock Way,Goldrill Drive,Rossiter Fields,,Edgeworth Road
The Woodlands,Cambstone Close,Leeside,,Botany Close
Manor Drive,Grindleford Avenue,Northbrook Road,,
Cecil Road,Corefield Close,Mayhill Road,,
Arlington Road,Gatcombe Way,Valley View,,
Marlborough Avenue,Verwood Drive,Boardman Close,,
Lincoln Avenue,Oakham Close,Mays Lane,,
Ashfield Road,Lichfield Close,Golda Close,,
Oxford Avenue,Osborne Close,Barnet Gate Lane,,
Kinderton Close,Cheriton Close,Althorp Close,,
Highbury Square,Barnet Road,Partridge Close,,
Principal Close,Brickfield Lane,Bishops Close,,
Boxelder Close,Windmill Lane,Southfield,,
Wellhouse Lane,Rockways,Adrian Close,,
Elmbank Avenue,Wylo Drive,Ridgeview Close,,
Trinder Road,Saddlers Close,Alan Drive,,
Pepys Crescent,Hedgerow Lane,Brookside Close,,
Whitings Road,Galley Lane,Dollis Brook Walk,,
Mineral Close,Chesterfield Road,Windsor Road,,
Greenland Road,Eleanor Gardens,Connaught Road,,
Shelford Road,Palmer Gardens,Pellow Close,,
Nupton Drive,Sellwood Drive,Archer Close,,
Stanhope Road,Juniper Close,Glyn Avenue,,
Edwyn Close,Sampson Avenue,Ridgeway Avenue,,
Dormer Close,Howard Way,Eton Avenue,,
Dexter Road,St Anna Road,Brookside,,
Niton Close,Jarvis Close,Littlegrove,,
Brett Road,Willowbay Close,Windsor Drive,,
Quinta Drive,Hendon Wood Lane,Bohun Grove,,
Malins Close,Chantry Close,Chestnut Grove,,
West Close,Highwood Hill,Heddon Court Avenue,,
Ryecroft Crescent,Crown Close,Mansfield Avenue,,
St Peters Close,Totteridge Common,Lakeside Crescent,,
Hackforth Close,Horseshoe Lane,The Close,,
Farm Close EN5,Chestnut Lane,"Clivedon Court, Lytton Road",,
Raebarn Gardens,Grange Avenue,Daneland,,
Arkley Drive,Totteridge Village (51 and above),Lytton Road,,
Chartridge Close,Wykeham Rise,"Middleton Lodge, Lytton Road",,
Carrington Close,Badgers Croft,Bulwer Gardens,,
Rowley Green Road,Barnet Lane EN5,Plantagenet Road,,
Sandalwood Close,The Pastures,Duncan Close,,
Rowley Lane,White Orchards,Bulwer Road,,
Lynford Close,Oaklands Road,Cromer Road,,
Garthland Drive,Priory Close,Boleyn Way,,
Vyse Close,Potters Road,Galdana Avenue,,
Endersby Road,Woodville Road,Morell Close,,
Aitken Road,Tudor Road,Shaftesbury Avenue,,
Hill Close,Latimer Road,Stockton Close,,
Denton Close,Vincent Close,Elwood Close,,
Escot Way,Julian Close,Knebworth Close,,
North Close,Hurst Rise,Nurserymans Road,,
Hawthorn Grove,Norfolk Road,Dowd Close,,
Kerri Close,Bosworth Road,Gardeners Close,,
Garden Close,Hadley Road (Potters Rd/Hadley Common),,,
Field End,Hexham Road,,,
Hazel Mead,Clifford Road,,,
Kates Close,Potters Lane,,,
Glebe Lane,King Edward Road,,,
Meadowbanks,Kingsmead,,,
Dingle Close,Hillary Rise,,,
Arkley Lane,Prospect Road,,,
Arkley View,Warwick Road,,,
Oaklands Lane,Highlands Road,,,
Well Approach,Crown Gate,,,
Well Road,Royal Drive,,,
Wellside Close,,,,
Matlock Close,,,,
Moxon Street,,,,
Moon Lane,,,,
Tapster Street,,,,
Victors Way,,,,
Salisbury Road,,,,
High Street,,,,
St Albans Road,,,,
Christ Church Passage,,,,
Sunset View,,,,
Chipping Close,,,,
Hadley Green Road,,,,
Nursery Row,,,,
Christ Church Lane,,,,
Gladsmuir Road,,,,
Hadley Grove,,,,
Meadway,,,,
Burnside Close,,,,
Martins Mount,,,,
The Crescent,,,,
Hadley Common,,,,
Camlet Way,,,,
Hadley Green West,,,,
East View,,,,
Hadley Green,,,,
Alston Road,,,,
Hadley Ridge,,,,
Belgravia Close,,,,
Wyburn Avenue,,,,
Hyde Close,,,,
South Close,,,,
Mill Corner,,,,
Hadley Highstone,,,,
Kitts End Road,,,,
Greenacre Close,,,,
Beaumont Place,,,,
Langley Row,,,,
Dury Road,,,,
Bray Road,,,,
Curry Rise,,,,
Walden Way,,,,
Montague Close,,,,
Gordon Way,,,,
Boundary Close,,,,
Meadway Close,,,,
